"vuosikymmen","sukupuoli_f","pituus_f","syvyys_f","pinta_ala_f","pyoreys_f","lento_km"
"00-l","M",">55.00","840.0-939.0",">=940.0","0.1300-0.1399",2554.543392
"00-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2355.88412
"00-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",4429.837815
"80-l","F",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3649.202627
"00-l","M",">55.00","840.0-939.0",">=940.0","0.1300-0.1399",2366.055726
"10-l","F",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3508.102606
"70-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2519.53475
"90-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2554.543392
"80-l","F",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3760.812589
"90-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2159.812733
"00-l","M",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3577.07446
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2895.246156
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"00-l","F",">55.00","840.0-939.0",">=940.0","0.1300-0.1399",2286.146357
"00-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3061.259138
"70-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2917.838862
"80-l","M",">55.00","840.0-939.0",">=940.0","0.1300-0.1399",4429.837815
"90-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2366.055726
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2355.88412
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3096.098707
