pituus;syvyys;pinta_ala;pyoreys;lento_km
49,127;25,301;800,955;0,134501731;4429,837815
44,958;26,649;774,614;0,155321516;4418,096765
47,219;25,345;767,633;0,139534086;3298,331417
47,604;26,24;812,201;0,145256934;3147,264434
47,974;25,172;771,486;0,135855252;2424,017815
48,582;24,584;742,593;0,127514719;1123,27682
48,646;24,807;765,627;0,13112431;3760,812589
49,318;25,133;759,67;0,126582687;3166,946376
49,318;25,133;759,67;0,126582687;2194,554508
49,318;25,133;759,67;0,126582687;3649,202627
49,318;25,133;759,67;0,126582687;1123,27682
48,926;25,296;791,618;0,134028292;2519,53475
49,446;25,189;794,937;0,131774273;3366,00856
48,69;25,422;793,201;0,13560133;3476,1625
48,189;24,742;755,193;0,131802113;2951,091772
48,75;24,369;765,953;0,130621037;2730,241602
48,959;25,049;776,602;0,131308752;3525,788543
48,483;24,947;768,834;0,132560416;2554,543392
48,856;25,428;793,305;0,134699078;3453,855854
50,092;25,159;798,782;0,129018436;4429,837815
47,04;24,484;732,659;0,134192273;2424,017815
48,405;25,33;783,94;0,135600915;774,0830123
48,521;27,419;856,728;0,147483597;2924,209933
48,693;26,093;810,515;0,138544164;2602,634152
48,693;26,093;810,515;0,138544164;3649,202627
48,693;26,093;810,515;0,138544164;4429,837815
48,693;26,093;810,515;0,138544164;2619,654304
48,675;25,956;810,848;0,138703613;3323,409678
50,262;25,688;832,014;0,133478509;3045,846196
48,444;25,692;796,214;0,137502332;2424,017815
48,444;25,692;796,214;0,137502332;2484,005325
48,954;25,033;789,272;0,133478272;3742,605965
48,188;25,889;822,018;0,143470883;2424,017815
49,192;24,578;784,093;0,131322416;3588,946757
48,211;26,505;836,159;0,145799769;3649,202627
49,481;25,642;822,629;0,136171846;2636,69391
42,71;25,182;635,996;0,141304336;3067,245062
49,192;25,238;787,911;0,131961866;2465,035025
50,192;25,331;816,742;0,131394181;3649,202627
49,736;25,736;815,194;0,133560954;4429,837815
49,659;26,029;829,321;0,136297211;2519,53475
49,503;25,273;794,811;0,131450147;2414,382004
48,581;25,733;813,68;0,13972721;3618,651377
48,38;25,135;771,111;0,133519721;3760,812589
49,984;25,743;825,385;0,133892053;3649,202627
48,863;25,107;788,203;0,133794443;1274,384833
50,385;25,628;823,587;0,131482273;2424,017815
49,576;25,314;813,014;0,134064966;3649,202627
49,709;26,484;833,424;0,136696122;3726,207581
50,041;25,639;826,738;0,133806184;3458,857111
49,008;26,015;826,384;0,139446683;3586,794151
49,483;25,143;783,905;0,129751276;2924,209933
48,86;25,329;799,275;0,135690533;2713,088581
50,177;25,328;803,831;0,129394439;3649,202627
48,854;25,417;786,057;0,133479333;3761,532259
48,854;25,417;786,057;0,133479333;2444,434627
49,313;25,114;806,782;0,134460152;2901,134554
49,731;25,441;813,555;0,133319225;2403,5155
48,769;25,093;783,197;0,133457677;3742,605965
50,448;25,501;803,913;0,128021052;2344,733126
49,906;25,965;825,119;0,134267626;2932,847455
49,402;25,945;821,259;0,136380201;2422,21903
49,722;25,142;792,875;0,129977384;3726,207581
50,826;25,261;816,179;0,128048294;3588,946757
50,883;25,21;803,211;0,12573161;2924,209933
50,883;25,21;803,211;0,12573161;2414,382004
50,883;25,21;803,211;0,12573161;2577,659958
49,088;26,034;816,29;0,137294787;2344,733126
49,859;26,228;842,171;0,137300905;3329,297349
50,836;26,201;839,894;0,131717046;2414,382004
49,322;25,864;820,275;0,136659039;3170,488503
49,322;25,864;820,275;0,136659039;998,5150397
50,928;24,873;797,297;0,124585395;3726,207581
48,255;25,415;784,093;0,136471883;2424,017815
46,726;25,237;747,952;0,13884069;2295,988221
49,247;24,78;766,543;0,128096484;4429,837815
48,58;25,99;804,336;0,138128321;3726,207581
50,308;26,537;842,92;0,134980956;1817,816774
48,373;24,471;755,991;0,130939545;3162,705965
50,217;25,095;792,972;0,127443171;3723,233188
50,899;25,231;805,454;0,126003465;3760,812589
50,201;25,742;835,944;0,134435106;2366,055726
50,201;25,742;835,944;0,134435106;3726,207581
50,201;25,742;835,944;0,134435106;4429,837815
50,201;25,742;835,944;0,134435106;2366,055726
50,117;25,295;791,25;0,127674403;3742,605965
49,745;25,594;804,711;0,131795722;3726,207581
50,167;25,142;797,027;0,128350338;3649,202627
49,972;25,839;821,231;0,133282189;3649,202627
48,13;25,6;797,79;0,139578045;3577,07446
51,714;24,816;829,585;0,125720145;3588,946757
50,019;26,408;829,612;0,134389476;3726,207581
50,399;26,941;886,239;0,141405814;3618,651377
50,841;25,749;843,045;0,132185201;3649,202627
49,722;25,637;803,413;0,131704897;3649,202627
51,102;26,11;861,872;0,133760296;3649,202627
48,81;25,46;789,133;0,134243367;3649,202627
51,382;25,798;849,217;0,130363771;3366,00856
51,025;25,486;833,5;0,129747746;3588,946757
50,348;25,901;843,545;0,13486649;1864,516254
49,758;25,021;786,945;0,128818665;1123,27682
51,461;25,495;820,636;0,1255898;4429,837815
50,172;26,158;832,847;0,134091931;3649,202627
51,259;25,649;829,911;0,128012243;3760,812589
50,108;26,511;861,606;0,139076843;3576,94649
49,982;26,131;843,212;0,136794855;2774,019436
50,299;26,714;862,449;0,138157659;4177,577249
50,629;25,006;815,152;0,128884338;2995,10918
50,645;25,802;830,917;0,131293958;4429,837815
50,516;26,359;851,272;0,13519813;3649,202627
51,053;26,717;878,103;0,136541029;4429,837815
49,409;26,301;823,087;0,136645036;2344,733126
49,365;25,222;789,167;0,131247452;2613,629304
50,55;25,172;810,202;0,128502399;3723,233188
50,55;25,172;810,202;0,128502399;3531,572589
50,55;25,172;810,202;0,128502399;3649,202627
50,55;25,172;810,202;0,128502399;2600,408927
50,661;25,503;831,528;0,131307523;1828,188443
48,998;25,297;818,766;0,138217597;2538,978647
49,11;25,036;784,773;0,131875595;1518,378364
48,368;24,453;759,004;0,131488585;2904,522457
50,328;25,561;830,744;0,132925443;2657,491803
49,301;25,693;823,094;0,137245535;4429,837815
49,269;26,434;836,999;0,139745454;3900,092851
49,551;26,786;867,204;0,143145161;4429,837815
50,725;25,747;837,089;0,131852318;3746,297626
50,698;26,402;845,371;0,133298707;3649,202627
50,063;25,477;806,919;0,130483755;2781,14206
50,539;25,76;828,925;0,131529205;3588,946757
49,322;26,747;838,894;0,139760993;2623,092314
49,322;26,747;838,894;0,139760993;2924,209933
50,714;25,283;828,424;0,130544081;3312,393637
49,906;26,327;853,403;0,138870144;3569,805288
50,736;25,816;823,295;0,12962336;3588,946757
50,736;25,816;823,295;0,12962336;2774,019436
49,884;28,025;916,195;0,149219514;3649,202627
49,547;26,401;827,828;0,13666762;3588,946757
50,09;26,304;843,788;0,136298642;2591,197066
50,842;26,252;857,77;0,134488716;3588,946757
51,857;25,932;854,059;0,128716239;3525,788543
50,276;25,661;820,553;0,131566538;3618,651377
50,09;25,689;825,842;0,133399791;3649,940271
50,466;26,072;836,992;0,133193732;3056,879333
50,431;26,935;857,36;0,136624411;3649,202627
50,124;24,732;796,311;0,128455149;3649,202627
50,606;26,277;851,07;0,134685706;2429,803584
51,551;26,58;861,428;0,131372675;3649,202627
51,21;26,807;885,503;0,136848717;1432,047625
49,116;24,803;794,395;0,133459891;1441,699045
50,971;26,169;847,093;0,132143264;4429,837815
51,742;25,896;838,922;0,126997569;2194,554508
50,913;25,815;847,981;0,132583351;3649,202627
51,019;26,302;837,79;0,130446231;2424,017815
51,113;26,351;856,888;0,132929559;3649,202627
49,736;25,784;809,702;0,132661147;3900,092851
50,369;25,628;825,989;0,131949531;2941,744391
51,629;26,432;876,465;0,133262328;2670,463747
48,337;24,167;790,341;0,137093029;3649,202627
51,267;24,412;776,315;0,11970779;2928,423335
49,118;25,447;789,813;0,132679301;2519,53475
51,5;26,604;872,411;0,133311287;3649,202627
49,611;26,159;831,105;0,136854846;2424,017815
50,907;25,959;846,426;0,132371421;3171,223423
51,586;25,708;845,906;0,128830486;2685,12791
51,312;26,773;850,733;0,130953057;3004,003098
51,086;25,972;831,73;0,129163205;3723,233188
49,669;26,119;832,792;0,136812556;3588,946757
50,379;25,91;832,431;0,132925838;2424,017815
